date,currency_pair,open,high,low,close,adjusted_close,volume,source
2026-03-13,CNH/USD,0.145346302099,0.145407169155,0.144751736297,0.144760118008,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-15,CNH/USD,0.144940349799,0.145013493506,0.144858885716,0.14487567494,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-16,CNH/USD,0.144940139722,0.145233368238,0.144753203026,0.145170749836,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-17,CNH/USD,0.145199627708,0.145361725386,0.145069872904,0.14530976409,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-18,CNH/USD,0.14532877001,0.145525879595,0.144846925769,0.144918085052,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-19,CNH/USD,0.145035787581,0.145483324701,0.144771644447,0.14532877001,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-20,CNH/USD,0.145453910747,0.1454585654,0.144739794035,0.144797428398,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-22,CNH/USD,0.144790300208,0.144888059485,0.144759070241,0.144880712465,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-23,CNH/USD,0.144925015797,0.145409706389,0.144543970999,0.145245814016,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-24,CNH/USD,0.14529012986,0.14529012986,0.144828465166,0.14509681585,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-25,CNH/USD,0.145094710572,0.145270711972,0.14473686115,0.144850282748,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-26,CNH/USD,0.144929636661,0.144937198712,0.144452100406,0.144528720747,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-03-27,CNH/USD,0.144553373442,0.144648302118,0.144436869533,0.144522454454,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
